No(line_no),주소(address),경도(longitute),위도(latitude),쓰레기통 형태(trash_type)
744,서울특별시 영등포구 대림로 191,126.8983275,37.49780237,① 일반쓰레기
745,서울특별시 영등포구 대림로 191,126.8983275,37.49780237,① 일반쓰레기
746,서울특별시 영등포구 신길로 39,126.9077849,37.49596633,① 일반쓰레기
747,서울특별시 영등포구 신길로 39,126.9077849,37.49596633,① 일반쓰레기
748,서울특별시 영등포구 버드나루로,126.9093711,37.52529015,① 일반쓰레기
749,서울특별시 영등포구 영중로,126.9047714,37.52258296,① 일반쓰레기
750,서울특별시 영등포구 영등포로,126.9199291,37.51363569,① 일반쓰레기
751,서울특별시 영등포구 경인로,126.9050304,37.51621755,① 일반쓰레기
752,서울특별시 영등포구 영신로,126.9089926,37.51276912,① 일반쓰레기
753,서울특별시 영등포구 영신로,126.9089926,37.51276912,① 일반쓰레기
754,서울특별시 영등포구 신길로,126.9106253,37.50271805,① 일반쓰레기
755,서울특별시 영등포구 문래로,126.8919669,37.5181119,① 일반쓰레기
756,서울특별시 영등포구 문래로28길,126.8991996,37.5170671,① 일반쓰레기
757,서울특별시 영등포구 영등포로,126.9199291,37.51363569,① 일반쓰레기
758,서울특별시 영등포구 영등포로,126.9199291,37.51363569,① 일반쓰레기
759,서울특별시 영등포구 버드나루로,126.9093711,37.52529015,① 일반쓰레기
760,서울특별시 영등포구 양산로,126.894117,37.52467564,① 일반쓰레기
761,서울특별시 영등포구 당산로,126.8944702,37.51528892,① 일반쓰레기
762,서울특별시 영등포구 문래로,126.8919669,37.5181119,① 일반쓰레기
763,서울특별시 영등포구 경인로,126.9050304,37.51621755,① 일반쓰레기
764,서울특별시 영등포구 도림로,126.9020076,37.50657527,① 일반쓰레기
765,서울특별시 영등포구 도림로,126.9020076,37.50657527,① 일반쓰레기
766,서울특별시 영등포구 경인로,126.9050304,37.51621755,① 일반쓰레기
767,서울특별시 영등포구 신풍로,126.9141327,37.49984918,① 일반쓰레기
768,서울특별시 영등포구 도신로,126.9047307,37.50795842,① 일반쓰레기
769,서울특별시 영등포구 노들로,126.907302,37.53335252,① 일반쓰레기
770,서울특별시 영등포구 영등포로,126.9199291,37.51363569,① 일반쓰레기
771,서울특별시 영등포구 양평로22길,126.8956443,37.54049289,① 일반쓰레기
772,서울특별시 영등포구 양평로,126.8915473,37.53935248,① 일반쓰레기
773,서울특별시 영등포구 선유로,126.8903108,37.52481482,① 일반쓰레기
774,서울특별시 영등포구 경인로,126.9050304,37.51621755,① 일반쓰레기
775,서울특별시 영등포구 가마산로,126.8992786,37.50108091,① 일반쓰레기
776,서울특별시 영등포구 가마산로,126.8992786,37.50108091,① 일반쓰레기
777,서울특별시 영등포구 가마산로,126.8992786,37.50108091,① 일반쓰레기
778,서울특별시 영등포구 영중로,126.9047714,37.52258296,① 일반쓰레기
779,서울특별시 영등포구 영중로,126.9047714,37.52258296,① 일반쓰레기
780,서울특별시 영등포구 영중로,126.9047714,37.52258296,① 일반쓰레기
781,서울특별시 영등포구 영중로,126.9047714,37.52258296,① 일반쓰레기
782,서울특별시 영등포구 문래로,126.8919669,37.5181119,① 일반쓰레기
783,서울특별시 영등포구 문래로,126.8919669,37.5181119,① 일반쓰레기
784,서울특별시 영등포구 노들로,126.907302,37.53335252,① 일반쓰레기
785,서울특별시 영등포구 노들로,126.907302,37.53335252,① 일반쓰레기
786,서울특별시 영등포구 노들로,126.907302,37.53335252,① 일반쓰레기
787,서울특별시 영등포구 노들로,126.907302,37.53335252,① 일반쓰레기
788,서울특별시 영등포구 여의동로,126.9371645,37.51778585,① 일반쓰레기
789,서울특별시 영등포구 여의나루로 42,126.9249712,37.52147049,① 일반쓰레기
790,서울특별시 영등포구 여의나루로 42,126.9249712,37.52147049,① 일반쓰레기
791,서울특별시 영등포구 여의나루로 76,126.9291725,37.52313926,① 일반쓰레기
792,서울특별시 영등포구 여의나루로 76,126.9291725,37.52313926,① 일반쓰레기
793,서울특별시 영등포구 여의동로,126.9371645,37.51778585,① 일반쓰레기
794,서울특별시 영등포구 여의동로,126.9371645,37.51778585,① 일반쓰레기
795,서울특별시 영등포구 국제금융로7길 46,126.935754,37.52398102,① 일반쓰레기
796,서울특별시 영등포구 국제금융로 108-6,126.9332307,37.51757943,① 일반쓰레기
797,서울특별시 영등포구 국제금융로 109,126.934265,37.51940404,① 일반쓰레기
798,서울특별시 영등포구 의사당대로,126.9183996,37.52633619,① 일반쓰레기
799,서울특별시 영등포구 국회대로76길 15,126.9231886,37.53096546,① 일반쓰레기
800,서울특별시 영등포구 국회대로76길 15,126.9231886,37.53096546,① 일반쓰레기
801,서울특별시 영등포구 63로,126.9376578,37.51934692,① 일반쓰레기
802,서울특별시 영등포구 국제금융로 78,126.9312975,37.52087134,① 일반쓰레기
803,서울특별시 영등포구 국제금융로 112,126.9339084,37.51840183,① 일반쓰레기
804,서울특별시 영등포구 국제금융로 112,126.9339084,37.51840183,① 일반쓰레기
805,서울특별시 영등포구 국회대로,126.8979022,37.5273496,① 일반쓰레기
806,서울특별시 영등포구 국회대로62길,126.9170829,37.52648439,① 일반쓰레기
807,서울특별시 영등포구 의사당대로 1,126.9141376,37.53189211,① 일반쓰레기
808,서울특별시 영등포구 여의대방로,126.9222548,37.5057029,① 일반쓰레기
809,서울특별시 영등포구 의사당대로 1,126.9141376,37.53189211,① 일반쓰레기
810,서울특별시 영등포구 의사당대로 1,126.9141376,37.53189211,① 일반쓰레기
811,서울특별시 영등포구 의사당대로 1,126.9141376,37.53189211,① 일반쓰레기
812,서울특별시 영등포구 여의나루로 42,126.9249712,37.52147049,① 일반쓰레기
813,서울특별시 영등포구 국제금융로 82 ,126.9315794,37.52221454,① 일반쓰레기
814,서울특별시 영등포구 여의길 55,127.8283718,35.10555399,① 일반쓰레기
815,서울특별시 영등포구 여의서로,126.9130456,37.53365622,① 일반쓰레기
816,서울특별시 영등포구 63로,126.9376578,37.51934692,① 일반쓰레기
817,서울특별시 영등포구 여의서로 43,126.9248429,37.53072908,① 일반쓰레기
818,서울특별시 영등포구 여의대방로,126.9222548,37.5057029,① 일반쓰레기
819,서울특별시 영등포구 양산로,126.894117,37.52467564,① 일반쓰레기
820,서울특별시 영등포구 양산로,126.894117,37.52467564,② 재활용쓰레기
821,서울특별시 영등포구 영등포로 178,126.9012814,37.52031856,① 일반쓰레기
822,서울특별시 영등포구 여의나루로 96,126.9300829,37.52517512,① 일반쓰레기
823,대전광역시 동구 동대전로 319,127.443052,36.34900766,일반+담배꽁초+재활용 
824,대전광역시 동구 합내로 75,127.4398194,36.34986146,일반+담배꽁초+재활용 
825,대전광역시 동구 우암로 355 건너편,127.452097,36.35071104,일반+담배꽁초+재활용 
826,대전광역시 동구 우암로 328,127.4512675,36.34827888,일반+담배꽁초+재활용 
827,대전광역시 동구 우암로 240,127.4432814,36.34387917,일반+담배꽁초+재활용 
828,대전광역시 동구 우암로 279,127.4466468,36.34606128,일반+담배꽁초+재활용 
829,대전광역시 동구 우암로 286,127.4474012,36.34596028,일반+담배꽁초+재활용 
830,대전광역시 동구 동대전로 263,127.4462906,36.34452516,일반+담배꽁초+재활용 
831,대전광역시 동구 동대전로 284,127.4454033,36.34644279,일반+담배꽁초+재활용 
832,대전광역시 동구 동대전로 287,127.444649,36.34631064,일반+담배꽁초+재활용 
833,대전광역시 동구 동대전로 316,127.4439353,36.3489585,일반+담배꽁초+재활용 
834,대전광역시 동구 우암로 353,127.4520448,36.3506333,일반+담배꽁초+재활용 
835,대전광역시 동구 우암로 325-1,127.4507493,36.34831582,일반+담배꽁초+재활용 
836,대전광역시 동구 충정로 136 ,127.4493281,36.34332068,일반+담배꽁초+재활용 
837,대전광역시 동구 대전로 486,127.4502568,36.30890116,일반+재활용
838,대전광역시 동구 대전로 420,127.4543713,36.30407167,일반+재활용
839,대전광역시 동구 대전로 486,127.4502568,36.30890116,일반+재활용
840,대전광역시 동구 대전로 473,127.4507259,36.3079367,일반+재활용
841,대전광역시 동구 은어송로 47,127.4548242,36.30580733,일반+재활용
842,대전광역시 동구 은어송로 48,127.4551306,36.30552571,일반+재활용
843,대전광역시 동구 동구청로 67,127.4574982,36.30439738,일반+재활용
844,대전광역시 동구 동구청로 147,127.4549167,36.31203706,일반+재활용
845,대전광역시 동구 은어송로 46,127.4549609,36.30537238,일반+재활용
846,대전광역시 동구 계족로 148,127.4444445,36.32739616,일반+재활용
847,대전광역시 동구 계족로140번길 46,127.4472211,36.325938,일반+담배꽁초+재활용
848,대전광역시 동구 동대전로 130-2,127.44583,36.33374701,일반+담배꽁초+재활용
849,대전광역시 동구 동대전로 59-1,127.4412511,36.32904663,일반+담배꽁초+재활용
850,대전광역시 동구 계족로 137,127.4414837,36.32812608,일반+담배꽁초+재활용
851,대전광역시 동구 동대전로110번길 164,127.4514852,36.33091183,일반+담배꽁초+재활용
852,대전광역시 동구 동대전로 62,127.4414088,36.32869177,일반+재활용
853,대전광역시 동구 동대전로 99,127.4439083,36.33127256,일반+재활용
854,대전광역시 동구 동대전로 88-2,127.4439382,36.33026735,일반+재활용
855,대전광역시 동구 산내로 1390,127.465041,36.28710693,일반+재활용
856,대전광역시 동구 대전로 248,127.463376,36.29048058,일반+재활용
857,대전광역시 동구 동구청로 35 ,127.4590748,36.3020201,일반+재활용
858,대전광역시 동구 대전로 874,127.4302921,36.33724479,일반+재활용
859,대전광역시 동구 우암로 74,127.4268014,36.33665562,일반+재활용
860,대전광역시 동구 솔랑길 12 ,127.433297,36.33916345,일반+재활용
861,대전광역시 동구 우암로 73-1,127.4266819,36.33708937,일반+재활용
862,대전광역시 동구 대전로 896,127.4289144,36.33892536,일반+재활용
863,대전광역시 동구 동서대로 1498-1,127.4202736,36.33956,일반+재활용
864,대전광역시 동구 동서대로1503번길 3,127.4201427,36.34017747,일반+재활용
865,대전광역시 동구 대전로 977,127.421574,36.34360094,일반+재활용
866,대전광역시 동구 대전로 935 ,127.4239975,36.34176562,일반+재활용
867,대전광역시 동구 우암로 159,127.4350501,36.34062267,일반+담배꽁초+재활용
868,대전광역시 동구 동서대로 1688,127.4374401,36.34885277,일반+담배꽁초+재활용
869,대전광역시 동구 계족로 276,127.4384813,36.33749505,일반+담배꽁초+재활용
870,대전광역시 동구 계족로 123,127.44381,36.32460216,일반
871,대전광역시 동구 옥천로 38,127.4450068,36.31990675,일반
872,대전광역시 동구 동서대로 1719,127.4403537,36.35078581,일반+담배꽁초+재활용
873,대전광역시 동구 한밭대로 1269,127.4378718,36.35517162,일반+담배꽁초+재활용
874,대전광역시 동구 동서대로 1673-1,127.4355976,36.34907492,일반+담배꽁초+재활용
875,대전광역시 동구 동서대로1683번길 33-11,127.4356219,36.3500193,일반+담배꽁초+재활용
876,대전광역시 동구 한밭대로 1231,127.4347608,36.35766164,일반+담배꽁초+재활용
877,대전광역시 동구 한밭대로 1291,127.4394577,36.35368273,일반+담배꽁초+재활용
878,대전광역시 동구 한밭대로 1232,127.4342827,36.35713957,일반+담배꽁초+재활용
879,대전광역시 동구 한밭대로 1266,127.4368076,36.35500428,일반+담배꽁초+재활용
880,대전광역시 동구 대전로 771,127.4337824,36.32847926,일반+재활용
881,대전광역시 동구 대흥로 199,127.4334534,36.32634809,일반+재활용
882,대전광역시 동구 동대전로 135,127.445643,36.33427099,일반+재활용
883,대전광역시 동구 동대전로 158-3,127.4473439,36.33592374,일반+재활용
884,대전광역시 동구 대전로 823,127.4316777,36.33278187,일반+담배꽁초+재활용
885,대전광역시 동구 대전로 818,127.4323487,36.3324137,일반+담배꽁초+재활용
886,대전광역시 동구 대전로 829,127.4313834,36.33329558,일반+담배꽁초+재활용
887,대전광역시 동구 대전로 814,127.4324053,36.33218951,일반+담배꽁초+재활용
888,대전광역시 동구 대전로 832-2,127.4317221,36.33380406,일반+담배꽁초+재활용
889,대전광역시 동구 중앙로 185,127.4297724,36.33039275,일반+담배꽁초+재활용
890,대전광역시 동구 중앙로193번길 4,127.4307373,36.33071787,일반+재활용
891,대전광역시 동구 중앙로 206,127.4320005,36.33074113,일반+재활용
892,대전광역시 동구 대전로 577,127.4416445,36.31231647,일반+재활용
893,대전광역시 동구 대전로 580,127.4417089,36.31276836,일반+재활용
894,대전광역시 동구 대전로 509,127.4483572,36.31050177,일반+재활용
895,대전광역시 동구 대전로 502,127.4492507,36.31013369,일반+재활용
896,대전광역시 동구 옥천로 190,127.4613622,36.31766496,일반+재활용
897,대전광역시 동구 옥천로 157,127.4580607,36.31739005,일반+재활용
898,대전광역시 동구 옥천로 152-9,127.4576698,36.31653561,일반+재활용
